record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1,7,16,1977,2,NL,M,32,
2,7,16,1977,3,NL,M,33,
3,7,16,1977,2,DM,F,37,
4,7,16,1977,7,DM,M,36,
5,7,16,1977,3,DM,M,35,
6,7,16,1977,1,PF,M,14,
7,7,16,1977,2,PE,F,,
8,7,16,1977,1,DM,M,37,
9,7,16,1977,1,DM,F,34,
10,7,16,1977,6,PF,F,20,
11,7,16,1977,5,DS,F,53,
12,7,16,1977,7,DM,M,38,
13,7,16,1977,3,DM,M,35,
14,7,16,1977,8,DM,,,
15,7,16,1977,6,DM,F,36,
16,7,16,1977,4,DM,F,36,
17,7,16,1977,3,DS,F,48,
18,7,16,1977,2,PP,M,22,
19,7,16,1977,4,PF,,,
20,7,17,1977,11,DS,F,48,
21,7,17,1977,14,DM,F,34,
22,7,17,1977,15,NL,F,31,
23,7,17,1977,13,DM,M,36,
24,7,17,1977,13,SH,M,21,
25,7,17,1977,9,DM,M,35,
26,7,17,1977,15,DM,M,31,
27,7,17,1977,15,DM,M,36,
28,7,17,1977,11,DM,M,38,
29,7,17,1977,11,PP,M,,
30,7,17,1977,10,DS,F,52,
31,7,17,1977,15,DM,F,37,
32,7,17,1977,10,DM,F,35,
33,7,17,1977,11,DM,F,36,
34,7,17,1977,17,DM,,,
35,7,17,1977,13,DM,F,38,
36,7,17,1977,16,OT,F,22,
37,7,17,1977,11,DM,F,35,
38,7,17,1977,17,NL,M,33,
39,7,17,1977,11,DM,F,36,
40,7,18,1977,20,DM,M,36,
41,7,18,1977,23,DM,F,34,
42,7,18,1977,18,DS,F,46,
43,7,18,1977,21,DM,M,36,
44,7,18,1977,18,DM,F,35,
45,7,18,1977,22,DM,M,36,
46,7,18,1977,19,DM,M,35,
47,7,18,1977,18,DM,M,32,
48,7,18,1977,20,DM,F,36,
49,7,18,1977,12,PP,F,17,
50,7,18,1977,18,DM,F,32,
